,국민,국가,발전,안정,경제,나라,사회,정부,노력,대통령,정치,계속,질서,헌법,관계,지금,본인,오늘,평화,문제,추진,사태,건설,생각,안전,국제,세계,극복,협력,성장,북한,유지,생활,정세,보장,난국,지속,기반,모두,협조,한편,정신,가운데,운동,책임,혼란,양국,말씀,개정,강화,어려움,조치,시련,당면,상황,중요,통일,역사,개발,석유,문화,원유,대의원,방위,해결,공업,현실,수호,경주,확대,집단,조국,대처,최선,공산,한국,기회,사업,과제,분야,내외,마을,산업,근로자,수출,생존,동안,이해,치하,중대,지원,지역,조성,시책,당부,기술,마련,성과,필요,노고,공동,국력,계획,전국,중동,이제,한반도,향상,상호,생산,포함,연구,의견,대화,교육,보위,타개,적극,자원,개선,이번,바탕,태세,공무원,강조,슬기,회담,기대,시국,인사,각하,친애,금년,증진,대한민국,다짐,물론,남북,남북한,언론,공장,확립,최근,이후,사실,화합,외교,기원,수행,가격,민주,안보,국토,변화,민족,당국,목표,에너지,비상시국,국정,미국,자리,촉진,도모,작년,참여,증대,번영,회의,새마을,확보,제반,결과
국민,0.0,315.0,198.0,254.0,160.0,134.0,183.0,142.0,128.0,90.0,142.0,34.0,162.0,106.0,29.0,9.0,52.0,28.0,25.0,59.0,51.0,81.0,30.0,61.0,82.0,22.0,42.0,59.0,36.0,64.0,6.0,59.0,101.0,9.0,65.0,75.0,58.0,47.0,60.0,77.0,26.0,24.0,52.0,30.0,69.0,48.0,9.0,45.0,50.0,17.0,42.0,60.0,19.0,24.0,25.0,52.0,11.0,13.0,5.0,5.0,19.0,11.0,22.0,33.0,44.0,8.0,29.0,44.0,21.0,8.0,17.0,16.0,15.0,37.0,5.0,3.0,29.0,7.0,27.0,11.0,11.0,15.0,16.0,22.0,18.0,53.0,14.0,28.0,14.0,36.0,8.0,18.0,16.0,24.0,16.0,2.0,35.0,15.0,26.0,11.0,22.0,25.0,4.0,14.0,4.0,2.0,4.0,20.0,12.0,23.0,36.0,24.0,16.0,26.0,17.0,63.0,22.0,21.0,9.0,5.0,27.0,25.0,23.0,8.0,25.0,21.0,1.0,19.0,16.0,10.0,12.0,14.0,8.0,9.0,10.0,18.0,2.0,2.0,4.0,6.0,1.0,18.0,16.0,10.0,12.0,47.0,2.0,8.0,30.0,4.0,59.0,17.0,23.0,4.0,10.0,25.0,20.0,11.0,18.0,28.0,0.0,10.0,9.0,28.0,12.0,28.0,5.0,13.0,20.0,7.0,7.0,15.0,20.0
국가,315.0,0.0,221.0,202.0,124.0,108.0,163.0,73.0,96.0,69.0,112.0,56.0,144.0,82.0,42.0,13.0,36.0,19.0,30.0,53.0,36.0,79.0,39.0,41.0,111.0,22.0,27.0,55.0,31.0,46.0,13.0,65.0,49.0,16.0,91.0,57.0,75.0,23.0,43.0,34.0,18.0,23.0,35.0,6.0,56.0,46.0,4.0,33.0,30.0,22.0,27.0,33.0,30.0,34.0,23.0,44.0,14.0,13.0,9.0,2.0,10.0,4.0,22.0,22.0,30.0,7.0,34.0,59.0,25.0,6.0,23.0,13.0,14.0,30.0,13.0,7.0,17.0,4.0,31.0,9.0,9.0,4.0,8.0,15.0,12.0,50.0,9.0,9.0,19.0,40.0,7.0,17.0,11.0,19.0,19.0,3.0,27.0,13.0,15.0,18.0,21.0,17.0,5.0,21.0,6.0,0.0,6.0,8.0,8.0,12.0,19.0,27.0,4.0,19.0,9.0,76.0,14.0,6.0,4.0,1.0,19.0,21.0,25.0,7.0,23.0,12.0,1.0,11.0,9.0,3.0,4.0,0.0,3.0,6.0,11.0,12.0,3.0,1.0,6.0,12.0,4.0,22.0,14.0,17.0,3.0,20.0,2.0,2.0,27.0,0.0,57.0,27.0,17.0,7.0,16.0,23.0,22.0,2.0,25.0,27.0,0.0,3.0,7.0,21.0,9.0,15.0,1.0,16.0,13.0,2.0,3.0,5.0,12.0
발전,198.0,221.0,0.0,155.0,107.0,94.0,115.0,48.0,68.0,30.0,131.0,23.0,99.0,55.0,25.0,10.0,24.0,25.0,22.0,38.0,47.0,36.0,20.0,24.0,47.0,9.0,19.0,40.0,21.0,45.0,2.0,36.0,35.0,7.0,38.0,31.0,63.0,24.0,20.0,26.0,11.0,17.0,22.0,14.0,21.0,28.0,1.0,21.0,30.0,15.0,18.0,19.0,17.0,15.0,12.0,30.0,11.0,21.0,6.0,2.0,8.0,1.0,12.0,18.0,11.0,10.0,14.0,22.0,13.0,6.0,8.0,15.0,5.0,22.0,1.0,6.0,10.0,4.0,14.0,17.0,5.0,11.0,9.0,20.0,7.0,21.0,15.0,6.0,10.0,17.0,7.0,10.0,6.0,8.0,10.0,1.0,14.0,13.0,10.0,9.0,9.0,17.0,6.0,8.0,2.0,1.0,2.0,9.0,5.0,9.0,22.0,16.0,8.0,13.0,10.0,24.0,12.0,5.0,5.0,3.0,13.0,22.0,12.0,1.0,12.0,11.0,1.0,11.0,7.0,4.0,4.0,0.0,3.0,2.0,5.0,8.0,1.0,1.0,1.0,7.0,8.0,10.0,8.0,10.0,3.0,11.0,0.0,11.0,13.0,1.0,37.0,13.0,9.0,10.0,6.0,10.0,15.0,1.0,5.0,19.0,2.0,3.0,5.0,24.0,4.0,14.0,3.0,13.0,6.0,8.0,1.0,3.0,9.0
안정,254.0,202.0,155.0,0.0,172.0,65.0,179.0,76.0,87.0,36.0,109.0,25.0,159.0,38.0,25.0,1.0,15.0,9.0,41.0,25.0,48.0,49.0,17.0,19.0,69.0,14.0,22.0,32.0,26.0,91.0,10.0,88.0,103.0,8.0,81.0,32.0,69.0,36.0,23.0,29.0,13.0,1.0,19.0,2.0,24.0,30.0,7.0,21.0,20.0,24.0,14.0,17.0,14.0,17.0,15.0,17.0,5.0,5.0,8.0,7.0,4.0,7.0,9.0,13.0,22.0,0.0,12.0,27.0,33.0,6.0,9.0,0.0,23.0,33.0,5.0,15.0,8.0,2.0,19.0,9.0,9.0,2.0,6.0,12.0,11.0,24.0,7.0,8.0,5.0,18.0,9.0,12.0,5.0,22.0,8.0,2.0,14.0,3.0,13.0,5.0,21.0,4.0,4.0,8.0,6.0,0.0,11.0,4.0,10.0,13.0,18.0,11.0,7.0,12.0,1.0,40.0,14.0,10.0,3.0,5.0,7.0,23.0,18.0,3.0,13.0,7.0,0.0,10.0,7.0,0.0,5.0,0.0,6.0,7.0,5.0,7.0,0.0,0.0,1.0,2.0,1.0,15.0,7.0,9.0,6.0,20.0,4.0,3.0,11.0,6.0,30.0,12.0,7.0,1.0,5.0,10.0,21.0,5.0,13.0,22.0,8.0,0.0,2.0,36.0,5.0,7.0,4.0,12.0,9.0,1.0,12.0,9.0,5.0
경제,160.0,124.0,107.0,172.0,0.0,97.0,113.0,64.0,54.0,22.0,96.0,23.0,78.0,30.0,37.0,5.0,8.0,8.0,8.0,34.0,46.0,37.0,13.0,22.0,49.0,56.0,78.0,23.0,41.0,83.0,3.0,25.0,60.0,26.0,49.0,42.0,37.0,27.0,13.0,21.0,13.0,6.0,19.0,6.0,28.0,31.0,17.0,24.0,14.0,21.0,37.0,21.0,15.0,11.0,16.0,29.0,3.0,2.0,16.0,27.0,19.0,35.0,0.0,12.0,16.0,7.0,11.0,15.0,17.0,13.0,7.0,1.0,6.0,22.0,1.0,8.0,8.0,5.0,13.0,18.0,5.0,4.0,12.0,17.0,28.0,13.0,4.0,3.0,1.0,20.0,6.0,14.0,10.0,23.0,2.0,12.0,17.0,7.0,14.0,1.0,17.0,6.0,10.0,6.0,13.0,1.0,3.0,6.0,7.0,13.0,18.0,12.0,5.0,15.0,0.0,26.0,17.0,1.0,16.0,9.0,15.0,14.0,5.0,1.0,10.0,4.0,13.0,11.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,1.0,1.0,9.0,6.0,0.0,0.0,4.0,10.0,6.0,7.0,10.0,14.0,1.0,7.0,11.0,27.0,19.0,10.0,3.0,0.0,17.0,14.0,0.0,5.0,12.0,5.0,0.0,3.0,21.0,4.0,8.0,11.0,3.0,9.0,3.0,7.0,6.0,12.0
나라,134.0,108.0,94.0,65.0,97.0,0.0,70.0,27.0,43.0,23.0,62.0,24.0,56.0,41.0,45.0,4.0,10.0,17.0,18.0,31.0,18.0,35.0,20.0,23.0,36.0,39.0,45.0,28.0,44.0,23.0,8.0,19.0,22.0,26.0,31.0,26.0,14.0,4.0,23.0,20.0,11.0,9.0,35.0,5.0,26.0,26.0,3.0,24.0,16.0,10.0,28.0,12.0,12.0,14.0,22.0,32.0,7.0,13.0,13.0,9.0,10.0,26.0,5.0,8.0,11.0,16.0,25.0,15.0,9.0,13.0,14.0,6.0,5.0,10.0,8.0,6.0,15.0,1.0,8.0,9.0,6.0,2.0,10.0,17.0,17.0,12.0,6.0,7.0,3.0,19.0,0.0,13.0,2.0,8.0,4.0,3.0,15.0,6.0,16.0,3.0,8.0,10.0,4.0,7.0,16.0,0.0,0.0,6.0,8.0,11.0,10.0,15.0,6.0,10.0,2.0,20.0,7.0,3.0,6.0,5.0,13.0,6.0,2.0,1.0,14.0,13.0,1.0,5.0,7.0,6.0,11.0,1.0,2.0,7.0,1.0,7.0,0.0,1.0,6.0,1.0,5.0,4.0,9.0,3.0,10.0,8.0,6.0,2.0,8.0,7.0,23.0,17.0,13.0,1.0,5.0,11.0,6.0,6.0,2.0,9.0,2.0,5.0,5.0,9.0,6.0,12.0,6.0,10.0,5.0,2.0,5.0,1.0,10.0
사회,183.0,163.0,115.0,179.0,113.0,70.0,0.0,52.0,64.0,31.0,118.0,27.0,118.0,43.0,24.0,3.0,11.0,11.0,12.0,30.0,34.0,48.0,19.0,24.0,47.0,20.0,17.0,22.0,23.0,46.0,28.0,37.0,44.0,4.0,47.0,28.0,28.0,19.0,28.0,26.0,14.0,5.0,17.0,10.0,34.0,79.0,2.0,22.0,16.0,15.0,10.0,20.0,8.0,10.0,15.0,27.0,8.0,6.0,4.0,0.0,8.0,3.0,10.0,11.0,14.0,0.0,22.0,17.0,18.0,6.0,28.0,5.0,9.0,24.0,19.0,4.0,17.0,0.0,10.0,14.0,5.0,2.0,5.0,14.0,11.0,15.0,6.0,5.0,7.0,26.0,0.0,14.0,21.0,8.0,9.0,3.0,12.0,4.0,10.0,6.0,13.0,14.0,0.0,9.0,3.0,1.0,2.0,8.0,9.0,7.0,14.0,12.0,2.0,14.0,8.0,33.0,9.0,4.0,2.0,2.0,11.0,14.0,9.0,5.0,17.0,8.0,1.0,7.0,6.0,6.0,2.0,0.0,1.0,4.0,4.0,4.0,1.0,0.0,4.0,5.0,0.0,22.0,9.0,8.0,5.0,17.0,4.0,2.0,11.0,0.0,34.0,13.0,9.0,4.0,1.0,14.0,13.0,0.0,10.0,16.0,0.0,0.0,2.0,18.0,2.0,13.0,3.0,9.0,7.0,3.0,3.0,4.0,12.0
정부,142.0,73.0,48.0,76.0,64.0,27.0,52.0,0.0,63.0,53.0,39.0,17.0,51.0,38.0,19.0,6.0,19.0,4.0,19.0,31.0,26.0,25.0,10.0,16.0,21.0,7.0,8.0,15.0,20.0,21.0,15.0,20.0,24.0,7.0,24.0,20.0,16.0,11.0,9.0,26.0,6.0,2.0,14.0,3.0,24.0,11.0,14.0,22.0,18.0,13.0,7.0,22.0,3.0,10.0,9.0,13.0,7.0,3.0,7.0,5.0,6.0,4.0,6.0,12.0,15.0,5.0,9.0,11.0,20.0,10.0,5.0,1.0,15.0,16.0,2.0,17.0,10.0,6.0,7.0,8.0,5.0,3.0,1.0,9.0,8.0,9.0,6.0,9.0,1.0,11.0,14.0,9.0,6.0,25.0,1.0,10.0,13.0,1.0,10.0,0.0,15.0,4.0,9.0,10.0,7.0,0.0,8.0,8.0,0.0,9.0,14.0,13.0,6.0,22.0,2.0,16.0,11.0,7.0,6.0,1.0,5.0,9.0,2.0,5.0,5.0,0.0,10.0,2.0,7.0,1.0,5.0,0.0,7.0,4.0,5.0,7.0,0.0,9.0,8.0,5.0,0.0,1.0,7.0,5.0,3.0,6.0,7.0,0.0,6.0,4.0,14.0,5.0,5.0,2.0,3.0,17.0,10.0,6.0,5.0,9.0,10.0,9.0,5.0,8.0,5.0,7.0,3.0,1.0,6.0,0.0,7.0,14.0,8.0
노력,128.0,96.0,68.0,87.0,54.0,43.0,64.0,63.0,0.0,17.0,38.0,20.0,50.0,14.0,23.0,1.0,17.0,9.0,32.0,25.0,13.0,23.0,11.0,15.0,22.0,14.0,16.0,26.0,15.0,22.0,9.0,19.0,20.0,3.0,27.0,17.0,23.0,16.0,11.0,24.0,9.0,10.0,13.0,6.0,19.0,11.0,4.0,15.0,8.0,17.0,11.0,9.0,10.0,8.0,6.0,13.0,16.0,2.0,12.0,3.0,9.0,5.0,11.0,5.0,15.0,8.0,8.0,10.0,51.0,9.0,4.0,11.0,7.0,37.0,3.0,8.0,8.0,2.0,7.0,4.0,2.0,6.0,4.0,16.0,13.0,7.0,6.0,6.0,7.0,8.0,7.0,9.0,8.0,9.0,14.0,6.0,5.0,6.0,8.0,6.0,10.0,6.0,5.0,7.0,7.0,0.0,5.0,9.0,1.0,9.0,8.0,12.0,1.0,13.0,2.0,17.0,8.0,8.0,5.0,5.0,7.0,7.0,7.0,9.0,5.0,3.0,3.0,6.0,5.0,1.0,4.0,0.0,3.0,8.0,3.0,11.0,0.0,3.0,3.0,5.0,2.0,6.0,6.0,5.0,4.0,5.0,8.0,1.0,8.0,6.0,13.0,5.0,5.0,1.0,5.0,11.0,14.0,9.0,4.0,10.0,3.0,3.0,4.0,8.0,1.0,8.0,10.0,12.0,5.0,4.0,11.0,1.0,7.0
대통령,90.0,69.0,30.0,36.0,22.0,23.0,31.0,53.0,17.0,0.0,31.0,8.0,31.0,80.0,17.0,1.0,34.0,0.0,12.0,28.0,7.0,23.0,2.0,9.0,12.0,4.0,7.0,5.0,11.0,3.0,8.0,10.0,6.0,7.0,12.0,8.0,5.0,1.0,6.0,10.0,5.0,0.0,9.0,1.0,27.0,9.0,9.0,22.0,25.0,2.0,3.0,29.0,1.0,3.0,5.0,10.0,6.0,0.0,2.0,2.0,1.0,1.0,12.0,6.0,4.0,0.0,9.0,5.0,2.0,0.0,4.0,2.0,7.0,4.0,1.0,16.0,12.0,1.0,0.0,5.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,10.0,3.0,10.0,3.0,7.0,1.0,4.0,0.0,0.0,5.0,2.0,6.0,1.0,10.0,0.0,4.0,7.0,4.0,0.0,7.0,1.0,7.0,3.0,12.0,8.0,17.0,11.0,0.0,17.0,1.0,1.0,2.0,0.0,8.0,3.0,2.0,1.0,6.0,2.0,10.0,0.0,7.0,6.0,16.0,1.0,3.0,5.0,15.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,6.0,7.0,1.0,0.0,11.0,0.0,12.0,5.0,3.0,1.0,1.0,10.0,5.0,0.0,7.0,9.0,10.0,2.0,2.0,4.0,16.0,3.0,0.0,2.0,9.0,0.0,2.0,7.0,6.0
정치,142.0,112.0,131.0,109.0,96.0,62.0,118.0,39.0,38.0,31.0,0.0,17.0,87.0,51.0,21.0,2.0,16.0,7.0,4.0,38.0,32.0,42.0,3.0,18.0,42.0,17.0,18.0,13.0,14.0,37.0,3.0,20.0,27.0,10.0,38.0,24.0,13.0,12.0,10.0,19.0,10.0,0.0,11.0,0.0,29.0,36.0,1.0,22.0,28.0,8.0,12.0,19.0,3.0,3.0,19.0,31.0,1.0,6.0,0.0,1.0,3.0,4.0,0.0,6.0,9.0,0.0,15.0,14.0,10.0,3.0,13.0,2.0,5.0,15.0,2.0,1.0,10.0,0.0,8.0,9.0,2.0,0.0,0.0,7.0,6.0,18.0,2.0,2.0,0.0,21.0,1.0,7.0,12.0,6.0,3.0,0.0,14.0,2.0,11.0,0.0,7.0,3.0,1.0,6.0,2.0,0.0,1.0,2.0,3.0,6.0,23.0,15.0,5.0,12.0,0.0,26.0,7.0,2.0,0.0,2.0,10.0,14.0,4.0,0.0,11.0,0.0,0.0,7.0,6.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,9.0,7.0,7.0,2.0,11.0,4.0,0.0,7.0,0.0,27.0,12.0,7.0,2.0,0.0,15.0,11.0,0.0,1.0,18.0,0.0,0.0,0.0,19.0,3.0,7.0,2.0,2.0,6.0,0.0,1.0,2.0,7.0
계속,34.0,56.0,23.0,25.0,23.0,24.0,27.0,17.0,20.0,8.0,17.0,0.0,16.0,16.0,5.0,3.0,8.0,2.0,8.0,9.0,4.0,18.0,7.0,9.0,13.0,9.0,9.0,11.0,2.0,4.0,9.0,7.0,7.0,8.0,11.0,10.0,3.0,1.0,4.0,6.0,2.0,2.0,8.0,0.0,5.0,12.0,2.0,7.0,3.0,2.0,5.0,3.0,3.0,8.0,9.0,4.0,4.0,4.0,2.0,2.0,0.0,9.0,3.0,3.0,4.0,1.0,6.0,10.0,3.0,0.0,6.0,4.0,2.0,4.0,6.0,6.0,3.0,5.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,8.0,3.0,2.0,3.0,1.0,3.0,0.0,7.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,5.0,4.0,0.0,2.0,2.0,2.0,1.0,6.0,1.0,9.0,3.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,5.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,2.0
질서,162.0,144.0,99.0,159.0,78.0,56.0,118.0,51.0,50.0,31.0,87.0,16.0,0.0,38.0,16.0,0.0,7.0,1.0,7.0,34.0,22.0,53.0,4.0,20.0,47.0,10.0,16.0,21.0,13.0,32.0,7.0,62.0,37.0,3.0,43.0,23.0,32.0,9.0,21.0,26.0,12.0,3.0,27.0,4.0,37.0,37.0,0.0,22.0,17.0,9.0,11.0,22.0,8.0,9.0,14.0,26.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,14.0,19.0,0.0,12.0,23.0,13.0,2.0,15.0,1.0,12.0,14.0,7.0,1.0,8.0,0.0,6.0,4.0,7.0,0.0,1.0,8.0,9.0,17.0,2.0,3.0,2.0,21.0,2.0,9.0,4.0,10.0,3.0,0.0,9.0,1.0,9.0,2.0,14.0,2.0,0.0,8.0,1.0,0.0,0.0,2.0,2.0,9.0,14.0,17.0,2.0,16.0,0.0,31.0,3.0,1.0,2.0,0.0,9.0,12.0,8.0,4.0,13.0,7.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,11.0,8.0,4.0,2.0,14.0,1.0,0.0,10.0,1.0,33.0,8.0,9.0,3.0,3.0,15.0,14.0,0.0,8.0,14.0,0.0,1.0,1.0,14.0,2.0,8.0,0.0,2.0,10.0,2.0,2.0,6.0,11.0
헌법,106.0,82.0,55.0,38.0,30.0,41.0,43.0,38.0,14.0,80.0,51.0,16.0,38.0,0.0,13.0,3.0,41.0,4.0,3.0,38.0,11.0,17.0,2.0,24.0,14.0,4.0,8.0,5.0,6.0,6.0,0.0,6.0,10.0,0.0,14.0,10.0,12.0,3.0,7.0,8.0,6.0,0.0,12.0,0.0,29.0,20.0,0.0,20.0,108.0,0.0,4.0,17.0,0.0,1.0,5.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,36.0,13.0,1.0,0.0,4.0,2.0,3.0,9.0,0.0,0.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,7.0,0.0,2.0,0.0,13.0,0.0,5.0,2.0,5.0,0.0,0.0,33.0,0.0,11.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0,17.0,50.0,8.0,0.0,25.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,13.0,3.0,0.0,4.0,9.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,25.0,4.0,8.0,1.0,1.0,9.0,4.0,0.0,4.0,5.0,0.0,1.0,3.0,5.0,7.0,5.0,0.0,2.0,7.0,0.0,0.0,9.0,4.0
관계,29.0,42.0,25.0,25.0,37.0,45.0,24.0,19.0,23.0,17.0,21.0,5.0,16.0,13.0,0.0,2.0,4.0,2.0,18.0,17.0,5.0,14.0,5.0,12.0,10.0,13.0,6.0,3.0,79.0,4.0,1.0,3.0,8.0,7.0,11.0,6.0,3.0,6.0,2.0,11.0,4.0,1.0,5.0,3.0,13.0,9.0,40.0,9.0,5.0,17.0,3.0,13.0,1.0,0.0,5.0,12.0,7.0,0.0,1.0,1.0,7.0,3.0,0.0,10.0,5.0,1.0,2.0,2.0,1.0,17.0,2.0,2.0,2.0,6.0,1.0,3.0,5.0,1.0,0.0,15.0,1.0,0.0,0.0,13.0,3.0,3.0,2.0,6.0,10.0,5.0,2.0,8.0,3.0,3.0,4.0,5.0,6.0,5.0,8.0,10.0,18.0,0.0,0.0,4.0,8.0,0.0,6.0,1.0,19.0,5.0,8.0,7.0,5.0,8.0,2.0,7.0,1.0,1.0,5.0,6.0,7.0,6.0,2.0,7.0,3.0,0.0,13.0,0.0,1.0,7.0,0.0,0.0,2.0,27.0,1.0,0.0,0.0,13.0,12.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,13.0,6.0,5.0,0.0,8.0,3.0,4.0,1.0,0.0,16.0,2.0,3.0,2.0,2.0,9.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,5.0,3.0,0.0,5.0,5.0
지금,9.0,13.0,10.0,1.0,5.0,4.0,3.0,6.0,1.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
본인,52.0,36.0,24.0,15.0,8.0,10.0,11.0,19.0,17.0,34.0,16.0,8.0,7.0,41.0,4.0,3.0,0.0,5.0,10.0,19.0,6.0,7.0,8.0,11.0,7.0,1.0,1.0,3.0,1.0,3.0,8.0,7.0,1.0,1.0,5.0,7.0,2.0,1.0,1.0,12.0,0.0,3.0,1.0,2.0,13.0,2.0,0.0,5.0,19.0,0.0,2.0,4.0,0.0,4.0,2.0,2.0,10.0,5.0,0.0,3.0,1.0,0.0,20.0,0.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0,9.0,5.0,10.0,2.0,0.0,12.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,6.0,3.0,3.0,3.0,12.0,3.0,0.0,0.0,1.0,1.0,7.0,2.0,10.0,2.0,3.0,11.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,14.0,6.0,1.0,6.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,3.0,7.0,6.0,8.0,3.0,0.0,1.0,2.0,7.0,6.0,0.0,5.0,2.0,1.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,8.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,8.0,3.0,1.0,5.0,1.0
오늘,28.0,19.0,25.0,9.0,8.0,17.0,11.0,4.0,9.0,0.0,7.0,2.0,1.0,4.0,2.0,0.0,5.0,0.0,4.0,1.0,5.0,2.0,7.0,9.0,4.0,2.0,6.0,12.0,1.0,6.0,1.0,1.0,5.0,2.0,3.0,9.0,0.0,5.0,6.0,3.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,3.0,4.0,1.0,5.0,0.0,6.0,4.0,2.0,4.0,3.0,8.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,0.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,4.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0
평화,25.0,30.0,22.0,41.0,8.0,18.0,12.0,19.0,32.0,12.0,4.0,8.0,7.0,3.0,18.0,1.0,10.0,4.0,0.0,10.0,7.0,7.0,10.0,8.0,22.0,17.0,9.0,5.0,20.0,2.0,17.0,11.0,1.0,10.0,12.0,5.0,6.0,12.0,3.0,3.0,1.0,5.0,8.0,0.0,2.0,1.0,15.0,0.0,2.0,5.0,1.0,2.0,2.0,5.0,6.0,1.0,53.0,6.0,2.0,0.0,4.0,1.0,6.0,1.0,9.0,0.0,3.0,5.0,10.0,5.0,4.0,21.0,3.0,5.0,6.0,13.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,0.0,12.0,10.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0,3.0,7.0,1.0,1.0,8.0,0.0,32.0,0.0,9.0,0.0,6.0,0.0,7.0,11.0,0.0,4.0,3.0,3.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,11.0,9.0,10.0,0.0,3.0,14.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,11.0,4.0,3.0,1.0,5.0,0.0,1.0,9.0,2.0,1.0,6.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,1.0,1.0,2.0,13.0,0.0,0.0,0.0,3.0,0.0
